Question,Answer
What should I do if believe I may have been exposed to COVID-19 or am experiencing any symptoms of COVID-19?,"If you have a new symptom of COVID-19, text SYMPTOM to 413-944-8562. You’ll receive a link to self-schedule an appointment for COVID-19 testing on the UHS Patient Portal. Log in or create an account, click the APPTS, tab, and follow instructions to schedule your appointment. When it’s time for your appointment, go to the UHS Respiratory Clinic. For more information, visit umass.edu/uhs/covid-19-testing. "
What strategies will be used to mitigate the spread of COVID-19?,Seven core actions are being implemented: required education for all; daily self-screening for all; enhanced cleaning; increased testing and tracing capabilities; arranging for high-risk individuals to study and work remotely; increased mental health support; and use of face coverings and physical distancing.
Will the cost of testing be covered by the university?,Surveillance testing will not be charged to students; the university assumes the cost of all surveillance testing. Symptomatic testing and testing for individuals in close contact to someone who has tested positive is covered by insurance.
What safety measures are in place at the Public Health Promotion Center at the Mullins Center?,Face coverings are required and compliance is monitored. ETC
Does UMass have a contact tracing program?,"Yes, to determine the risk of potential exposure to others on campus the UMass Public Health Team will conduct contact tracing per Massachusetts Department of Public Health guidelines on any individual who has tested positive. The team will have a dedicated phone number and caller ID, and it will actively promote its “Answer the Call” program to protect the UMass community."
What’s the difference between isolation and quarantine?,"The Centers for Disease Control define isolation as separating sick people with a contagious disease (such as COVID-19) from people who are not sick, and quarantine as separating and restricting the movement of people who were exposed to a contagious disease to see if they become sick."
What support do students get if they are in isolation or quarantine?,"UMass is committed to supporting all students during any required isolation and quarantine. This includes contact tracing, academic support, health services and counseling services. All students in isolation and quarantine, both on- and off-campus, will receive a daily wellness call."
How will face-to-face instruction be conducted?,"The occupancy of classrooms will be modified to maintain social distancing, including assigned seating where appropriate. Before the start of each class, students and faculty must wipe down their chairs and any other commonly touched surfaces. Everyone in the classroom is required to wear face coverings. There is no eating or drinking in class. An educational video is being produced that will detail the public health measures in place for classrooms and laboratories."
How will you reduce density in classrooms?,"Classrooms and study spaces will have diagrams depicting the reduced seating capacity for each space, including designated areas for instructors and required space between students to ensure appropriate social distancing. Room locations for some courses may be reassigned to meet public health standards. Signs will be posted to explain appropriate ways to enter and exit, as well as reminders about preventive health practices."
How will the UMass Agreement be enforced?,"The UMass Agreement relies on each member of the campus community doing their part to protect the health and wellbeing of themselves and others. University staff will provide guidance, education, and reminders of the expectations outlined in the Agreement; students are empowered to serve as active bystanders, helping others to remember their responsibility to the community. The Agreement is meant to provide expectations for safe and appropriate behavior in line with state, local, and university guidelines; behaviors that elevate to public health risk will be addressed through the conduct process."
Why do I need to get a flu vaccine?,"Because many of the symptoms for the flu overlap with those related to COVID-19, we are asking that all students agree to a flu vaccine when they become available this fall. By preventing the development of flu-related symptoms, you can avoid quarantine."
What improvements have been made for remote learning in the fall?,"The move to remote instruction in the spring was an abrupt change for students and faculty. For the fall, UMass established University Quality Standards and recommended best practices for all fully online courses. The Center for Teaching and Learning; Instructional Design, Engagement and Support; Information Technology, and the Libraries worked extensively with faculty over the summer to redesign their courses. Instruction now features opportunities for students to interact with their peers and with the faculty member synchronously and asynchronously; faculty will be holding weekly synchronous office hours; critical course content is provided asynchronously for students who are unable to attend synchronously; and faculty are flexibly designing assessments and exams to meet the needs of students who may experience disruption in their learning. You can learn more at www.umass.edu/online/quality."
 What is the policy for taking classes Pass-Fail in Fall 2020?,The Faculty Senate Rules Committee has agreed to a partial expansion of the rules regarding undergraduate student choice of Pass-Fail grading during the Fall 2020 semester. Students may take up to three classes on a Pass-Fail basis. Please see this announcement for more information.
Can I take time off?,"To maintain active status at the university, students are required to be enrolled in at least one course."
Who is allowed to live on campus for fall 2020?,Students who previously held an assignment and are enrolled for in-person classes for fall are invited to live on campus. Students with extenuating circumstances who submit the Permission to Live on Campus Request and are approved may also live on campus this fall.
Will previously charged fall housing cancellation fees be waived?,"Yes, all housing cancellation fees for fall 2020 will be waived. "
How will room selection work for the spring?,More information on this process will be provided at a later time.
 I have been storing my belongings with Dorm Room Movers since March. Is the university going to compensate these additional storage fees incurred?,The university will not be reimbursing students for storage fees.
What dining locations are open this fall?,More information about dining locations that will be open this fall will be available soon
What will be the cost of living on campus?,All spaces for fall will be billed the standard shared room rate. Students selecting into break housing (North B ONLY) will be billed an additional break housing fee. Students should not select break housing unless they have no other option for winter break housing.
What does the transition to remote learning mean for my RAP?,"If you are in a RAP and enrolled in the affiliated RAP course, you can remain in the RAP course regardless of where you are living. "
Is the UMass Amherst Community Agreement still in effect?,"Yes, the UMass Amherst Community Agreement is still in effect. Adhering to public health guidance is one of the best ways to remain healthy."
Is there still a restriction on guests in the residence halls?,"To deter the spread of COVID-19, no guests are allowed in residence halls until further notice. A guest is defined as someone who does not live in the residence hall. Two family members or helpers can help with move in and move out."
Will there be residential staff to support students who are living on campus?,"Yes, residential life staff will be on campus to support the residential population. Most interactions with staff will be conducted remotely."
Will there be Residence Hall Security?,Residence Hall Security will remain in place through our card access and desk monitoring systems.
"If a residential student is exposed to COVID-19 and has to quarantine, how will they get meals?","Students isolated or quarantined due to COVID-19 will receive prepared meals delivered to their housing location. Additionally, if a student has an allergy and is quarantined or isolated, dining services will provide meals that are in line with medical needs or dietary preferences."
Will there be micro-communities as outlined in the opening report?,"Micro-communities – known as My C.R.U. (My Campus Remote Unit) – will now be created online (My Campus Remote Unit) for all new students. These online groups will be led by Residence Education staff trained to help support students, connect them to campus resources, and facilitate engagement with one another."
What does CRU stand for?,"My Campus Remote Units, or My CRUs, are micro-communities created online for all new students. These online groups will be led by Residence Education staff trained to help support students, connect them to campus resources, and facilitate engagement with one another."
